idimovel,localizacao,proprietario,preco_compra,preco_aluguel
98112,"Estrada Thiago da Rocha, 59
Caiçara - Adelaide
85418977 Rodrigues / CE",Lorenzo Rios,754036,3714
33034,"Ladeira de Costela, 8
São Damião
40273-721 Melo / SE",Leandro Peixoto,505983,3137
9883,"Lago Luiz Otávio Nogueira, 69
Pilar
12832-767 Montenegro / SP",Srta. Maria Vitória da Rocha,282090,583
19673,"Feira das Neves, 42
Mineirão
70436648 Machado de Rios / PE",Maria Isis Leão,295711,1674
56057,"Núcleo Otto Silveira
Vila Madre Gertrudes 1ª Seção
86677-552 Carvalho / AC",Nicolas Barros,305539,2580
91962,"Colônia Vieira, 3
Parque São Pedro
12572-627 Santos de Gomes / MA",Dra. Vitória Alves,932158,1688
60240,"Vila Jesus, 36
Novo Santa Cecilia
16304-102 Ramos / RJ",Davi Lucas Silveira,703136,2568
10485,"Jardim Castro, 46
Vila Mangueiras
01621179 Mendonça Grande / RR",Laura Pacheco,903168,4659
78966,"Trecho Emanuella da Mota, 1
Mala E Cuia
44066-140 Sousa do Galho / RR",Isis Marques,706007,3900
40666,"Pátio de Fonseca, 92
Frei Leopoldo
43380083 Sousa / TO",Sra. Maria Helena Dias,504644,4072
82014,"Travessa de da Luz, 894
Maria Virgínia
02349697 Siqueira de Barbosa / RR",Bento Pastor,331500,2191
10516,"Distrito Alícia Almeida, 8
Renascença
31919-978 Fonseca da Praia / PB",Nicole da Rocha,672448,3442
60368,"Viela Rhavi Caldeira, 42
Maria Helena
23612-945 Rios do Norte / PE",João Guilherme Câmara,58416,3524
12457,"Viela Cunha, 15
Alto Das Antenas
52400738 Moura dos Dourados / PE",Lucca Porto,209101,4540
32983,"Recanto Otávio Silva, 43
Nova Granada
26287796 Nogueira / RS",Anthony Aragão,221623,2354
30663,"Vereda de Ribeiro
Madri
41507419 Silveira das Pedras / RJ",Gael Henrique Mendes,529224,2812
73543,"Quadra de Silveira
Aarão Reis
34811983 Ferreira / PI",Sr. Igor Montenegro,803276,2837
16836,"Núcleo de Ramos, 27
Vitoria Da Conquista
86285-740 Câmara de Silva / PA",Clarice Carvalho,727062,1839
49557,"Colônia de Pereira, 22
São Damião
79718690 Silveira / PB",Kevin Rodrigues,360003,652
65532,"Rua Fogaça, 98
Santa Maria
27119345 Mendonça / TO",Thiago Novais,728690,3072
88049,"Ladeira Melissa Brito, 3
Cdi Jatoba
48532120 Barbosa do Sul / AP",Sra. Anna Liz Sales,377596,760
22738,"Trecho Guilherme Dias, 225
Nossa Senhora De Fátima
97816-381 Machado Alegre / PR",Emanuelly Campos,690303,3871
78851,"Viaduto Barbosa, 25
Vila Piratininga
79619-719 Borges de Goiás / PA",Gabriel das Neves,302509,4366
70160,"Campo de Freitas
Novo Glória
89709279 Duarte do Galho / RJ",Sra. Rebeca Monteiro,55346,4802
84605,"Jardim Gustavo Teixeira, 978
São Gonçalo
26966-692 Pastor da Mata / RN",Henrique Sousa,654423,4456
63089,"Trecho Macedo, 723
Colégio Batista
84858248 Câmara Paulista / AP",Bárbara Pacheco,207468,4261
49668,"Recanto João Felipe da Mata, 720
Europa
83841-319 Oliveira / CE",Isabella Siqueira,302391,2564
41642,"Fazenda Cavalcante, 901
Suzana
13288-169 Fonseca do Norte / AC",Srta. Cecília da Luz,669937,1281
8749,"Chácara de Barros, 5
Vila Madre Gertrudes 1ª Seção
66618321 da Paz / TO",Anthony Gabriel da Paz,645171,1421
66608,"Loteamento de Gomes, 646
Vila Santo Antônio
93428166 Mendonça da Praia / GO",Rodrigo Pastor,546010,2708
89728,"Lagoa de Marques, 58
Paraíso
16501-510 Nunes / AM",Bella Gonçalves,369851,3803
73201,"Favela de Fonseca, 47
Cdi Jatoba
41874-632 Costa / PI",Dr. Leonardo Lima,652712,2883
86863,"Estrada Luísa Aparecida, 332
Saudade
05709230 Macedo / RS",Dra. Agatha Santos,623497,4864
92330,"Rodovia Benício Brito, 1
Virgínia
80679149 da Luz / TO",Giovanna Viana,570471,3043
30369,"Lagoa João Vitor Rezende, 54
Vila Nova
23932999 Andrade / PA",Aurora Câmara,691094,4879
65887,"Loteamento de Albuquerque, 62
São Benedito
90088-711 Monteiro / AP",Maria Pastor,885707,643
59643,"Área de Castro
Coração Eucarístico
06728-130 Ramos do Campo / MG",Léo Casa Grande,263050,2663
51937,"Lago de da Costa, 88
Vila Maloca
09907-077 Pereira / CE",Ana Novaes,902696,967
28421,"Sítio Gael Siqueira
Vila Santa Monica 1ª Seção
66827-169 Câmara / ES",Dra. Marina Peixoto,569710,3990
59539,"Colônia Abreu, 501
Belvedere
21786-593 Castro / CE",Enrico Rios,596104,2490
71154,"Sítio Arthur Miguel Pinto, 38
Ribeiro De Abreu
38935314 Sampaio de Minas / SP",Dra. Ester Sales,511331,1639
58271,"Conjunto de Macedo
Vila Aeroporto
43839-767 Duarte de Moreira / DF",Dr. Ryan Caldeira,72118,2019
57705,"Setor Mariah Novais, 67
Serra
05874-585 Moraes / BA",Laura Cardoso,676210,3471
13885,"Residencial Pereira, 99
Dom Joaquim
94576-477 Oliveira do Campo / PA",Luan Pinto,606906,1538
28249,"Parque de Viana
João Alfredo
50414-228 Teixeira / AL",Sophie Nogueira,822723,2962
15649,"Favela Almeida, 35
Suzana
26156-497 Vargas / SE",Vinicius Marques,998278,2920
39561,"Colônia de Cardoso, 275
Jaqueline
09918-952 Moura / SC",Bento Camargo,521248,4397
97535,"Esplanada Valentim Garcia
Acaba Mundo
47923-688 Ferreira / AL",Lucas Gabriel Porto,981694,2940
38686,"Sítio de Vargas, 4
Conjunto Taquaril
95613042 Pastor de Goiás / RO",Lucas Andrade,281091,4183
57032,"Ladeira Guerra, 480
Dona Clara
59442-222 da Rocha / PA",Enzo Gabriel Sousa,50695,3103
40225,"Vale Campos, 33
Marmiteiros
23334221 Alves / SP",Maria Luiza Martins,652309,3835
92422,"Campo Pereira, 88
Vila Suzana Segunda Seção
18688-190 Peixoto do Campo / PR",Nicolas Gomes,287642,2645
56276,"Residencial Vinícius Aragão, 55
Conjunto Paulo Vi
73645-618 Borges Verde / SE",Maria Eduarda da Rocha,174241,791
50956,"Ladeira de Vasconcelos, 61
Funcionários
22357641 Silveira / MS",Emanuel Jesus,322087,3719
34556,"Viela da Rosa, 294
Glória
86362586 da Cruz das Flores / PA",Arthur Miguel Martins,886293,1599
37937,"Setor Lima, 17
Tres Marias
18124648 da Costa / PR",Yuri Nogueira,88757,2620
23788,"Área Vitor Hugo Sousa, 12
Barreiro
26414-388 Correia de Sá / DF",Esther Garcia,947714,1789
53808,"Praia das Neves, 66
Leticia
87917468 Gomes / TO",Eloá Borges,467820,4327
37804,"Condomínio de Sales, 12
Zilah Sposito
96192773 Moura dos Dourados / RN",Sofia das Neves,741587,784
46077,"Ladeira de Sampaio
Prado
97829-420 da Cunha de Camargo / PI",Maria Vitória Aragão,565372,3126
59104,"Viela Pinto, 34
Parque São Pedro
69373135 Mendonça de Minas / AP",Ian Araújo,858998,2873
969,"Praça Enrico Pereira, 8
Glória
29302-877 Santos / SP",Yago Lima,360870,1832
80998,"Colônia de Freitas, 51
Jardim Guanabara
59365514 Gomes do Galho / RS",Nicole Rodrigues,702935,705
94596,"Setor Cassiano, 893
Conjunto Califórnia I
55287254 Montenegro / PB",Rebeca Gonçalves,124301,1976
19675,"Parque Heloisa Almeida, 68
Delta
42441-017 Sá do Norte / RO",Sr. Henrique Sousa,396859,2422
6531,"Praia Pires
Monsenhor Messias
28840-707 Pastor / PE",José Pedro da Cruz,641436,2414
67097,"Lago de Nunes, 92
Barro Preto
41754418 Lopes Grande / DF",Aurora Camargo,399898,1332
40775,"Pátio de Vargas, 1
Vista Alegre
48406-336 Guerra do Norte / RS",Aurora Silva,259052,4315
96117,"Conjunto Alves, 45
Esperança
99375-555 Araújo Alegre / CE",Nathan Rezende,749211,953
35201,"Conjunto de Camargo, 69
São Tomaz
68257493 Jesus / PA",Theodoro Cavalcante,785055,1277
29030,"Trevo Maria Helena Cunha, 88
Europa
52093040 Leão de Minas / SP",Catarina Costa,520851,2610
75059,"Estrada da Luz
Etelvina Carneiro
92255-238 Rezende / AL",Arthur Camargo,771644,2513
15098,"Largo de Melo, 880
Vila Petropolis
33881-867 Rocha de Minas / PE",Bernardo da Cunha,288360,1356
71003,"Estação Luiz Henrique Casa Grande
Boa Vista
77014-737 Aragão / GO",Rebeca Dias,203184,2610
66480,"Sítio da Cunha, 21
Céu Azul
54224-739 Peixoto / MS",Sr. Nathan Sousa,730972,973
34678,"Vereda de Melo, 80
Aguas Claras
55868-428 Novais / ES",Luísa Lopes,658341,4581
88291,"Conjunto de Machado, 22
Atila De Paiva
77877-919 Novais / AM",Fernanda da Cruz,181416,4765
39975,"Quadra de Rezende
Braúnas
59662-857 Brito de Minas / PI",Hadassa Gomes,722376,2831
48593,"Colônia Brayan Barros
Alpes
68495622 Garcia / RS",Sr. Pedro Henrique Rezende,457656,1806
56028,"Rodovia Milena Ramos
Alto Das Antenas
57171502 Novaes / SC",Joaquim Vargas,648863,1597
96836,"Chácara de Viana, 21
Jardim Atlântico
98612-597 Machado / PA",Benjamim Ferreira,740447,4102
52650,"Estação de Viana, 99
Jaqueline
89142-348 Vieira / GO",Sra. Daniela Cunha,377237,4005
15799,"Estrada de Costa, 72
Mariquinhas
15049432 Vargas / RO",Dra. Marcela Rezende,319203,2548
87216,"Avenida de Viana, 52
Nova Floresta
48893-681 Araújo de Pinto / RN",Isis Moura,420117,4319
42447,"Jardim Henrique Rios, 43
Carlos Prates
54177-342 Barros dos Dourados / ES",Isaac Moura,593886,3369
83946,"Praia Monteiro, 48
Nova Granada
08678-767 Correia / ES",Benjamim Ramos,160977,4271
73270,"Lago de Gomes, 15
Vila Da Paz
35326-257 Gomes / PA",João Miguel Marques,608204,4139
80036,"Pátio Pimenta, 63
Varzea Da Palma
06226817 Andrade / PB",Benjamin da Rosa,427939,4643
4660,"Fazenda de Almeida
João Pinheiro
54880775 Sampaio de Fernandes / DF",João Guilherme Fonseca,348383,2657
68338,"Rodovia da Mota
Alípio De Melo
29210711 Pereira / CE",Marcos Vinicius Silva,816584,1617
75476,"Loteamento Mariah Sampaio, 78
Araguaia
46123620 Montenegro / PE",Gael Henrique Leão,554749,3295
82682,"Estação de Ferreira, 736
Lourdes
44225430 Viana da Praia / SC",Lucas Ribeiro,355326,4036
68470,"Estação Ana Sophia Costela, 48
Calafate
76170744 da Luz do Amparo / SP",Matheus Azevedo,326148,1994
22783,"Parque de Nascimento
Dona Clara
97708-131 da Mata / PR",João Felipe da Cunha,469842,3343
78182,"Avenida de Ramos, 41
Jardim América
29563023 da Cruz / AL",Emilly Fernandes,991147,3431
86856,"Praia de Porto, 51
Vila Dos Anjos
92478-771 Duarte das Pedras / MG",João Felipe Ferreira,890357,2477
75431,"Ladeira de Santos, 37
Indaiá
78514-301 Moura / PI",Dra. Zoe Sampaio,467835,4085
28878,"Vila Kamilly Sampaio
Vale Do Jatoba
19046-471 Cavalcante / AM",Erick Nunes,443725,3940
38522,"Travessa de Rezende, 58
Vila Suzana Segunda Seção
69915-246 Farias de Ramos / MS",Dra. Sophia Moreira,542902,4562
22349,"Trevo Cardoso, 262
Vila Calafate
90170189 Correia da Praia / RR",Maria Alice Andrade,152897,3843
9000,"Jardim Raul Sampaio, 739
São Jorge 2ª Seção
07236170 Ramos de Machado / AC",Maria Helena Silveira,134845,2285
8630,"Núcleo Marina Viana, 9
Santana Do Cafezal
75715-241 Camargo dos Dourados / RN",Valentim da Rocha,662679,3191
2336,"Campo Luna Aragão, 4
Liberdade
49570-935 Souza / PA",Ravy Machado,861679,4514
67645,"Vereda da Paz, 30
Vila Atila De Paiva
37174822 Cunha de Goiás / DF",Breno Almeida,478719,1173
50222,"Estação de Ramos, 96
Aparecida
72952-552 das Neves / MA",Hellena Cunha,460049,4812
80586,"Praça Maria Clara da Costa, 51
Floresta
96056375 Nunes Alegre / MS",Alexandre Moraes,160287,3112
54093,"Morro de da Rosa
Vila Nova Dos Milionarios
01046-682 Dias / PB",Maria Luísa da Rosa,60093,1489
58842,"Largo Lucas Gabriel Carvalho
Vila Batik
43027-373 Duarte Alegre / MS",Srta. Maria Alice da Costa,583824,3390
8120,"Jardim Moreira, 80
Leonina
51516364 Mendes do Campo / RN",André Macedo,483913,814
17831,"Loteamento de Garcia, 929
Vila Oeste
19955887 Gomes / ES",Luiza Teixeira,584057,1963
66715,"Lagoa Farias, 68
Vila Paquetá
61448-318 Souza / SC",Sra. Raquel Souza,612709,3707
73853,"Rua Duarte
Santa Rosa
50447-993 das Neves do Galho / AC",Ana Júlia Mendonça,967271,4888
7064,"Favela Cardoso, 1
Lagoa
29193675 Machado / MG",Nina Garcia,727855,4605
26277,"Área Nicolas Correia
Vila Oeste
91006-455 Moraes do Oeste / MG",Yan Garcia,867169,3761
75981,"Setor de Jesus, 8
Caiçara - Adelaide
19345798 Alves / MA",Marcelo da Mata,813496,4382
77590,"Morro Rebeca Novaes, 1
Bairro Das Indústrias Ii
24429153 Novais de Gomes / RJ",Henrique da Mata,691655,3173
74502,"Praça Alves, 709
Minas Caixa
15942-857 Barbosa dos Dourados / AC",Vitória Sales,276509,2454
7357,"Ladeira Marcos Vinicius Oliveira, 24
Alto Caiçaras
71520-596 Cassiano / SP",Ana Luiza Gonçalves,522830,4701
52905,"Jardim Pires, 47
Alto Dos Pinheiros
57858-643 Pimenta da Mata / PA",Pedro Henrique Carvalho,272940,2678
89529,"Rodovia de Viana, 104
Mariquinhas
82749413 da Cruz / BA",Cecília Viana,513415,1574
80629,"Morro de da Luz, 99
Paquetá
83407-070 Teixeira / SC",Gabriel Pastor,928489,1199
589,"Recanto José Miguel Macedo, 22
Vila Da Amizade
13984481 Nogueira / GO",João Guilherme Abreu,979136,3935
16189,"Vale Eduarda Aparecida, 29
São Francisco
42299-180 Vargas do Amparo / SC",Stella Andrade,512269,4625
3773,"Vereda Ayla Costela, 54
Jardim Vitoria
59225-060 Machado / RJ",Maria Liz da Paz,658858,3720
67024,"Passarela Fogaça
Diamante
75506-380 Montenegro de Leão / DF",Vitor Hugo da Rosa,335177,2709
99616,"Colônia Luísa Barros, 30
Boa União 1ª Seção
69885966 Santos do Amparo / MG",Dr. Gael Carvalho,998401,3330
33042,"Condomínio Gonçalves, 37
São Salvador
18675-679 Dias / RS",Maysa Freitas,946822,1523
75993,"Área de Borges, 12
Conjunto Minas Caixa
64957-601 da Rosa do Sul / AP",Luiza Souza,94904,1506
47464,"Fazenda Jesus
Vila Aeroporto
60257-017 Teixeira / PA",Luiza Fonseca,286796,651
47211,"Campo Moreira
Ventosa
84882-927 Santos das Flores / ES",Mariana Câmara,841992,2325
88630,"Conjunto de Pastor, 58
Pantanal
14238-841 Casa Grande da Praia / RN",Isadora Nogueira,473051,4573
55932,"Viela Pedro Lucas da Mota, 339
Conjunto Serra Verde
86613-127 Siqueira / SP",Luiz Fernando Teixeira,820653,591
84901,"Viela Marcelo Melo, 58
Boa União 2ª Seção
39739-188 Lima do Oeste / RO",Pedro Henrique Carvalho,664411,1173
63744,"Vale de Rezende, 29
Sagrada Família
09881965 Camargo da Serra / CE",Isabela Alves,859881,4276
12572,"Recanto de Câmara, 340
Vitoria
61870-366 Macedo de Goiás / RO",Enzo Gabriel Sales,167394,2056
31496,"Vila Bruna Pires, 89
Juliana
70835477 Aparecida do Amparo / PA",Cauã Vasconcelos,595135,2864
41074,"Favela Lara Nunes, 8
Funcionários
37045896 Guerra / AC",Alice Montenegro,91331,2028
65894,"Largo Ribeiro, 521
Marmiteiros
15723939 Abreu do Norte / TO",Maria Helena Melo,857867,4022
70719,"Trecho Ramos, 795
Caetano Furquim
95322-620 Sá / MS",Dr. Ravi Lucca Montenegro,231710,2105
21646,"Viela de Marques, 725
Conjunto Santa Maria
77050-107 Monteiro das Pedras / PE",Davi Lucca Moraes,894607,1431
82380,"Parque de Cavalcanti, 20
Teixeira Dias
53088012 Dias do Norte / RS",Agatha Costela,857979,4509
78300,"Aeroporto Barbosa, 34
Vila Califórnia
24625317 Aparecida / PR",Vitória Moreira,891618,3139
9392,"Jardim Maria Flor Nascimento, 43
Jardim Vitoria
52591-558 Costela do Sul / RO",Ester Rezende,190924,4281
15508,"Condomínio de Rodrigues, 379
Sport Club
88046199 Nascimento / MA",Thales Fernandes,431709,3611
82417,"Trecho Lorenzo Sales, 13
Vila Jardim Montanhes
06072-324 da Costa do Campo / SC",Antonella Sampaio,84348,1449
34149,"Esplanada Cirino, 2
Padre Eustáquio
35367408 Silveira da Prata / SC",Raquel Moreira,186547,4185
70446,"Jardim de Siqueira
Lagoa
74616288 Novaes / RR",Emanuel Borges,931716,679
87130,"Viela de Câmara, 32
Vila São João Batista
43285055 Siqueira / RO",Natália Fogaça,699830,4092
92017,"Feira Gabriela Caldeira, 36
Chácara Leonina
14306939 Barros dos Dourados / PR",Dra. Bianca Camargo,200113,4124
55239,"Vereda Caldeira, 77
Coqueiros
80050-327 Peixoto de da Rocha / MG",Benício Cunha,887530,1173
74870,"Ladeira Barbosa, 87
Vila Rica
34879-840 da Mota Alegre / PB",Renan Novais,183019,697
31837,"Morro Gustavo Henrique Farias
São Cristóvão
21114-117 Macedo / AL",Maria Alice Leão,739997,2928
60881,"Vereda de Ramos, 5
São Damião
62307-655 Sá Paulista / CE",Esther Borges,831279,1266
63504,"Vale de Pimenta, 18
Barroca
06871-717 Lopes de Siqueira / MA",Srta. Sabrina Jesus,290555,651
22961,"Quadra Lavínia Correia, 1
Jardim Leblon
65708886 Camargo / MA",Srta. Carolina Abreu,291112,1646
3307,"Favela de Peixoto, 78
Sport Club
63148282 Camargo da Mata / AP",Alícia Novaes,194237,2366
97899,"Sítio de Aragão, 197
Estrela Do Oriente
00597-216 Moraes / RR",Mathias Peixoto,637436,4862
75447,"Travessa Gonçalves, 14
Conjunto Califórnia Ii
37918-093 da Costa / MS",Ravy da Mota,537649,3370
69915,"Viaduto Pereira, 4
Santa Tereza
54453481 Monteiro da Serra / GO",Lucas Azevedo,549326,3987
44021,"Pátio Castro, 864
Bom Jesus
19678105 da Conceição / TO",Benjamin Freitas,77991,4526
65609,"Recanto de da Conceição, 152
São João Batista
71492389 Marques Paulista / PE",Gael Fogaça,938301,4103
91862,"Via de Rocha
Pousada Santo Antonio
86432-218 Guerra / AC",Yan Abreu,307661,3843
74805,"Recanto da Costa
Zilah Sposito
99610873 Correia das Pedras / GO",Olivia Mendonça,217375,4046
19140,"Pátio Sabrina Freitas, 49
Ipiranga
45534083 Ribeiro / MT",Evelyn Cunha,494621,1551
47230,"Sítio Josué da Mata
Alta Tensão 1ª Seção
49232984 Sales / MA",Cauã Câmara,262833,3451
98141,"Quadra Emanuel Costa, 92
Jardim Dos Comerciarios
52722-278 Fonseca de Goiás / PA",Bianca Brito,382092,2074
61270,"Fazenda de da Cruz, 56
São Marcos
08299-764 Oliveira / BA",Manuela Aragão,609575,2516
44121,"Praia Heloisa Pinto, 6
Serra Verde
29682728 Martins / PE",Cauê da Luz,81938,1009
39167,"Viela João Guilherme Lima, 533
Aguas Claras
90736-498 Nunes / GO",Benjamin Costela,584204,2986
29676,"Residencial Marques
Madre Gertrudes
41222-890 Pires / AM",Isaac Macedo,792083,847
78970,"Rua Rezende, 8
Santa Terezinha
47920-230 Lima / AP",Amanda Rodrigues,428038,2066
49431,"Largo João Silva, 4
Vila Nova Gameleira 2ª Seção
62649884 Montenegro / SP",Yuri Peixoto,693262,4520
75358,"Lagoa da Rosa, 92
Lourdes
67235478 Pereira / SE",Ravy Montenegro,962810,2853
56081,"Rua Nogueira
Vila Da Amizade
98413900 Rezende / AC",Laís Montenegro,443250,3731
16630,"Feira Sofia Costela
Jardim Felicidade
43755-796 Abreu / RO",Aurora Silveira,355806,1070
21899,"Passarela de Duarte, 73
Lourdes
42145889 Lima / AP",Marcos Vinicius Silva,291911,534
54400,"Trecho Ravi Fogaça, 66
Pindura Saia
15095-079 Câmara de Cardoso / MT",Gael Henrique Cunha,492393,3637
20081,"Condomínio de Cassiano, 36
Tupi A
02033175 Gomes da Serra / PR",Alice Mendes,314320,625
2251,"Loteamento Moraes, 22
Madre Gertrudes
55294875 da Costa / AC",Isis Montenegro,198079,1050
60137,"Rodovia de Macedo, 35
Embaúbas
33272-697 Melo / RR",Sr. Marcelo Silva,124208,2283
19554,"Rodovia de Moreira, 63
Ventosa
58881-706 Farias de Vieira / AP",Antônio Azevedo,861713,2484
38415,"Rua de Araújo, 438
Grota
41629-178 Vargas / RO",Rhavi Sampaio,649937,3119
6438,"Colônia de Vasconcelos, 568
Vila Sumaré
57419-632 Ferreira / PI",Antony Oliveira,71448,4006
59736,"Rodovia de Melo, 501
Goiania
65998-409 Aparecida / SP",Srta. Vitória Pinto,405213,1555
30663,"Rodovia Ana Beatriz Rios
Mangabeiras
17061-328 Pimenta de Farias / AP",Dra. Anna Liz Vieira,984712,4695
90151,"Jardim Câmara
Guarani
85575-598 Nascimento / BA",Thales Rios,981427,1838
71484,"Conjunto Lucas Montenegro, 7
Vila Nova Cachoeirinha 2ª Seção
27620360 Barbosa Verde / SC",Bárbara Moreira,865604,1618
7791,"Viaduto de Martins, 2
Buraco Quente
36169623 Sá de da Cruz / SE",Caio da Luz,673642,3999
35419,"Conjunto de Brito, 127
Cidade Jardim Taquaril
92394-241 da Luz / GO",Davi Lucas Marques,214603,516
73276,"Fazenda Guerra, 89
Rio Branco
08255-421 Cassiano Paulista / RS",Otávio Guerra,673840,3734
60220,"Morro da Rocha, 99
Renascença
17519899 Fernandes do Norte / PA",Luana Cavalcante,900625,4709
23957,"Conjunto de Ramos, 53
Jardim São José
78012-887 Pacheco dos Dourados / AL",Elisa da Cruz,554832,3355
73419,"Conjunto de Cunha, 91
Funcionários
75016768 Rezende de Silveira / RN",Laís Castro,785758,3177
39745,"Área de Cavalcanti
Vitoria Da Conquista
78628746 Castro / PB",Brenda Marques,126646,3291
3636,"Loteamento Porto, 638
Tirol
99085-187 Brito / MG",Sabrina Nogueira,782729,3436
75248,"Loteamento Davi Luiz Ribeiro
São João Batista
39696-118 Cavalcanti da Mata / MS",Luiz Henrique Macedo,903034,4091
20512,"Jardim de das Neves, 498
Pindura Saia
35283092 Correia Alegre / SP",Joaquim Moreira,434881,1951
96494,"Largo Moraes, 32
Delta
26564-676 Pastor / SP",Luara Lopes,850954,1803
31898,"Favela de das Neves, 28
Vila Bandeirantes
13051850 da Paz / PI",Ana da Mata,187656,4741
12515,"Chácara Ana Clara Castro, 27
Novo Aarão Reis
25838-468 Moraes / PB",Sr. André Macedo,696461,4971
