idpessoas,nome,cpf,data_nascimento,endereco,telefone,sexo
83957,Anthony Moreira,209.186.354-89,1970-05-30,"Residencial Cirino, 645",81 3623 9914,M
50670,Rael Montenegro,152.760.438-17,2009-05-17,"Chácara Yasmin Campos, 455",+55 31 3511 0127,F
10284,Sr. Luiz Otávio Dias,163.504.829-05,1997-02-02,"Morro Moura, 7",+55 31 6672 4084,M
62138,Olivia da Rocha,972.065.841-01,1948-01-19,"Área Lucas Almeida, 35",+55 11 5486 8613,F
49717,Maria Laura Campos,254.738.106-08,1955-12-22,"Distrito Rafael Vargas, 1",+55 84 8342 7816,F
6975,Bianca Moreira,390.524.786-00,1984-07-04,"Lago Machado, 42",+55 71 5113 4373,F
96315,José Miguel Cavalcante,935.178.062-77,2000-04-18,Praia Theo da Paz,+55 (061) 4122-1309,M
38380,Giovanna da Rosa,570.681.324-80,1913-06-14,"Praia de Dias, 35",31 0688 6886,M
40836,Ágatha Guerra,502.864.973-10,1978-07-30,"Largo da Rocha, 15",+55 84 9097-0557,M
75829,Maria Fernanda da Paz,427.153.096-43,1926-12-18,"Trevo de Ferreira, 87",+55 81 3299 1269,F
5198,Luiz Felipe Teixeira,097.852.314-88,2004-04-10,"Rua Costa, 5",(071) 2758-4407,M
70795,Ana Liz Fogaça,415.732.986-46,1989-09-04,"Morro Machado, 95",0300-186-9605,M
12797,Luigi Martins,218.659.437-46,1940-07-17,"Rua de Silva, 31",0900-091-3669,F
22463,Guilherme Novais,286.317.459-28,1967-09-22,"Travessa Larissa Correia, 52",(084) 9794 9423,F
40061,Srta. Anna Liz das Neves,981.547.062-02,1914-01-16,"Vereda de Garcia, 64",+55 31 8899 3121,M
59243,Luísa Nascimento,839.615.724-37,1914-12-27,"Vila Raul Marques, 77",(011) 9178-0958,F
66644,Oliver Machado,596.872.430-74,1913-07-18,Distrito Vieira,(041) 1781 5902,F
60173,Rafaela Vasconcelos,614.852.903-33,2011-04-16,"Esplanada Catarina Rezende, 4",+55 71 1613-5239,M
21955,Arthur Gabriel Andrade,351.284.706-44,1934-10-21,"Vereda de Sousa, 7",+55 (011) 9321 5010,M
15528,Emanuel Caldeira,385.691.247-91,1939-05-03,"Conjunto Maria Isis Aragão, 19",+55 51 5376 3759,F
7529,Dra. Valentina Fernandes,986.357.214-46,1927-10-10,"Quadra Davi Luiz Duarte, 23",+55 11 1830 6743,M
39743,Ravy Leão,570.346.218-53,1976-08-21,Distrito Ravy Brito,11 7967 0516,M
3439,Maria Luísa Peixoto,592.841.067-02,1938-09-17,"Esplanada de Gomes, 57",+55 71 4605 4807,F
92638,Benjamin Araújo,236.879.104-31,1992-09-21,"Viela de da Paz, 965",(021) 4024-9588,F
55228,Emilly Moraes,243.078.951-50,1997-10-19,"Recanto da Cunha, 8",51 9898 4027,M
67923,Dr. Bryan Freitas,639.072.451-99,1925-12-21,"Estação Albuquerque, 1",+55 84 3833 5108,M
37008,Dra. Marina Moreira,530.496.271-07,2005-06-01,"Morro Ana Laura Mendonça, 49",51 1652 0363,M
59363,Gael Oliveira,312.965.487-91,1921-10-05,"Setor Ana Liz Freitas, 1",+55 (031) 1169 7202,M
23690,Milena Cirino,324.159.086-06,1927-02-15,"Fazenda de Pinto, 73",+55 (051) 8858-6111,M
57875,Augusto Novaes,470.653.218-35,1955-10-10,"Parque Santos, 51",+55 61 1363-2241,F
57878,Daniel da Paz,082.954.167-58,1969-06-05,"Feira de Cavalcanti, 635",+55 71 9460 3309,M
80363,Dr. Davi Lucas Gomes,269.453.187-37,1947-12-21,"Quadra de Viana, 10",+55 (021) 1769 1721,F
55929,Marcela Cirino,734.209.516-80,1988-04-09,Ladeira de Duarte,(081) 4870 0977,M
20689,Giovanna Almeida,648.095.173-57,1946-07-03,"Pátio de Leão, 59",84 3170-8937,M
37491,Luan Fogaça,428.735.069-38,2004-08-18,Travessa Pimenta,+55 (011) 4601 7604,M
8349,João Guilherme Freitas,831.649.752-28,2018-05-30,"Travessa de Pimenta, 74",(021) 7873 1721,F
76103,Emanuel Ribeiro,480.735.912-60,1932-05-29,"Vale Leão, 98",+55 51 3896 1505,F
71827,Lucca Oliveira,249.367.108-22,1961-04-17,Morro Vieira,+55 84 3429-9083,M
58299,Pedro Miguel Mendonça,714.326.098-31,1930-12-01,"Praça Duarte, 72",+55 (031) 7775-3681,M
60036,Luiza Mendes,492.807.615-01,1977-12-28,Colônia de Pires,0900 734 6402,F
52649,Srta. Maysa Albuquerque,846.712.350-80,1953-06-06,"Estrada Araújo, 699",+55 84 1537-3115,M
23536,João Felipe Novais,516.324.907-06,1930-04-03,"Núcleo Caldeira, 5",+55 31 9048-8907,F
98919,Francisco Vieira,673.129.548-55,2000-07-31,"Viela Joaquim da Cruz, 456",+55 41 6239-9024,F
97326,João Gabriel Lima,562.179.340-43,2012-03-24,"Esplanada de Aragão, 71",0900-819-3406,F
78208,Elisa Barros,387.246.591-00,1925-01-22,"Rua Marina Farias, 338",+55 (031) 4499 2122,M
55020,Sra. Natália da Rosa,830.769.214-87,2013-09-19,"Recanto de Cavalcanti, 615",+55 (021) 7963 8782,F
53207,Dr. Oliver Silva,481.920.357-60,2021-07-02,Sítio Rodrigues,+55 41 9294 9789,M
9113,Dra. Melissa Costela,348.615.709-48,1991-04-17,"Viaduto Macedo, 83",(071) 3126-0434,F
53162,Guilherme Silva,537.281.940-50,1937-09-16,"Fazenda Montenegro, 383",0500 274 0900,F
70975,Maria Clara Costa,540.793.182-60,2013-01-25,"Via Caldeira, 580",(084) 7234 8269,M
81846,Maria Isis Lopes,264.108.753-71,1924-12-30,"Aeroporto de Pinto, 150",+55 (051) 3548 8238,F
39972,Bryan da Mata,063.582.419-15,1977-02-07,"Favela Lorenzo Mendes, 244",51 9488 3370,M
95880,Maitê Rezende,253.489.016-60,1921-06-21,"Setor de Nascimento, 616",21 1488-9711,M
65697,Emanuelly Rocha,478.623.015-44,1909-09-20,"Travessa de Moura, 9",(051) 1863-5390,M
4963,Esther Aragão,642.839.701-31,1913-11-07,"Passarela de Carvalho, 956",+55 41 3127-2345,F
59612,Dra. Sara Vieira,137.942.680-40,1945-09-26,"Favela Garcia, 17",+55 61 7345-5653,F
75038,Ana Luiza da Cruz,973.418.065-75,1921-03-19,"Lago de Porto, 55",(031) 5900-8281,M
66002,Olivia Gomes,923.568.701-21,1920-06-09,"Vila de da Conceição, 1",+55 51 4925 3658,F
89413,Diogo Câmara,264.803.597-47,1960-04-13,"Trevo Breno Ferreira, 68",51 9463 4576,F
18707,Sophie Novais,675.120.398-59,1923-11-24,"Passarela Barros, 55",+55 84 5138-2176,F
9189,Joana Borges,156.893.074-75,1919-06-30,"Conjunto Almeida, 534",(031) 0533-6402,M
20489,Stella Farias,217.369.508-86,1926-12-31,"Alameda Mateus Santos, 32",+55 11 2404 9021,M
34427,Breno Azevedo,240.531.687-08,1927-06-19,"Esplanada Maya Marques, 53",+55 11 7147-1860,M
84908,João Azevedo,791.268.405-02,1945-12-24,"Área de Borges, 781",0900 807 8560,M
553,Luan Cunha,916.357.240-07,1965-12-26,"Colônia da Costa, 34",(011) 4598 0696,M
45201,Stephany Camargo,697.083.451-48,1992-04-19,"Colônia Macedo, 986",31 7680 3591,F
77108,Maria Vitória Fernandes,849.105.362-05,1956-05-23,"Morro de Ribeiro, 5",+55 41 9793 4360,M
22040,Luísa Melo,934.758.120-88,1962-10-23,"Rodovia Ana Lívia Fogaça, 52",(081) 6167-2221,M
31816,Anna Liz Siqueira,517.329.406-06,1982-04-03,"Residencial de Casa Grande, 73",+55 61 0295-0538,M
1687,Sra. Isadora Casa Grande,243.850.961-98,2015-05-24,"Passarela Ravi Sales, 557",0900-210-7727,M
7700,Elisa Costa,405.238.971-97,2000-11-06,"Quadra Freitas, 72",(051) 7195 0265,F
49234,João Felipe Pimenta,170.684.592-85,1997-09-12,"Chácara Sabrina Aragão, 681",+55 51 9795 1381,M
23118,Alexandre Sousa,706.584.213-44,1963-05-17,"Praça Esther Sales, 10",0300-476-5156,M
3338,João Lucas Ferreira,472.610.359-80,1956-11-10,"Passarela Emanuella Freitas, 58",71 6439-9534,F
3900,Maria Júlia Rezende,086.372.459-00,1914-02-23,"Lago Maria Luiza Azevedo, 96",71 9853-2979,F
61255,Murilo Barbosa,017.294.836-31,2023-03-16,"Distrito Luiz Miguel Garcia, 90",(081) 4992 1445,M
17862,João Felipe Campos,580.213.976-59,1987-08-24,"Condomínio de Sousa, 9",+55 51 5189 3634,F
56397,Sr. Anthony Gabriel Câmara,609.413.758-20,2019-04-26,"Residencial Cardoso, 49",84 6311-8956,M
86784,Sr. Luiz Otávio Porto,495.318.207-32,1929-09-06,"Passarela de Jesus, 39",41 5004 7923,F
19778,Sr. Fernando Pacheco,380.652.941-89,2021-09-20,"Conjunto Ferreira, 99",41 0192 6160,M
9089,João Correia,387.105.269-86,1998-11-02,"Residencial Stephany Aragão, 862",31 4249 7777,F
4162,Pietro Cunha,310.764.259-25,1938-07-05,"Pátio Anthony Gabriel Brito, 53",+55 71 6320-0809,F
8076,Cauã Cirino,964.732.580-00,1967-05-29,"Praça de Cavalcanti, 8",41 9527-0291,F
22994,Dr. João da Mata,701.693.425-06,1946-01-05,"Estação de da Mota, 633",(041) 7016-3194,M
86107,Liz Costa,451.082.367-35,1929-01-24,"Loteamento Cecília Araújo, 54",+55 81 3361-4190,M
17507,Srta. Bella Vieira,901.478.253-50,1949-02-06,"Praia Valentina Cavalcante, 3",(071) 1104-1847,F
89995,Maria Flor Machado,230.918.547-79,1918-08-19,"Quadra Oliveira, 64",(061) 4025-5720,F
49815,Emanuella Garcia,914.076.253-06,2004-10-09,"Alameda Mariana Rocha, 32",(041) 4902-9353,F
70358,Lara Pastor,371.209.546-52,1936-04-05,Estrada Sousa,84 8198 1478,F
14054,Sophie Marques,853.709.261-40,1979-03-10,"Jardim de Pires, 49",+55 71 0955-7442,F
34608,Sr. Luiz Fernando Leão,708.132.964-04,2024-03-29,"Travessa Emilly Mendes, 111",(081) 6755 9134,F
19521,Thales da Conceição,527.491.603-16,1942-07-13,"Pátio Dante Oliveira, 31",0300 666 1096,F
2912,Erick Rocha,409.786.251-02,1960-10-29,"Fazenda das Neves, 302",+55 (021) 6146 8538,F
63175,José Pedro Santos,782.345.601-07,1910-11-05,"Quadra Gonçalves, 3",0800 358 8831,F
33524,Ana Júlia Monteiro,129.538.760-30,2005-10-08,"Parque de Macedo, 51",+55 (021) 7817-7395,F
54017,Maria Costa,875.624.901-20,2012-12-30,"Passarela de Pimenta, 49",+55 (041) 7574-7460,F
23468,Enrico Pimenta,654.013.972-16,2016-08-14,"Núcleo de Pastor, 6",21 7374 3966,M
4361,Heitor da Costa,956.018.247-11,2011-06-26,Via de Brito,(071) 6292-7285,F
26162,Ravy Ribeiro,783.651.429-37,1921-07-18,"Morro Juan Fonseca, 41",(041) 3846 7098,F
48760,Danilo da Costa,913.428.067-78,1996-07-25,Ladeira Ana Vitória Siqueira,0900-656-2981,M
5142,Sr. Arthur Gabriel Lima,106.523.798-77,2005-03-12,"Condomínio Novaes, 64",+55 41 6290-6266,M
83473,Dr. Pedro Henrique da Cunha,204.598.137-14,1915-11-24,"Jardim Fonseca, 95",+55 (061) 6385-0863,M
74,Dom da Luz,370.485.619-39,1974-12-08,"Praça Mariah Pinto, 51",41 0347 6323,F
99413,Sr. João Felipe Mendes,697.284.035-00,1930-04-23,"Quadra Pedro Henrique da Rocha, 705",51 6867 2976,F
56433,Thomas Moraes,324.615.907-61,1957-06-29,"Esplanada Benjamin Pastor, 34",+55 (081) 3102 3183,M
73508,Henry Gabriel Alves,695.087.423-56,1921-05-15,"Largo Maya Fogaça, 31",+55 61 1066-6230,F
24261,Kevin Santos,463.820.917-31,1924-03-25,"Quadra Otávio Gomes, 367",(051) 3435-3862,M
63278,Brayan Silveira,570.126.834-90,1967-07-21,"Via de das Neves, 7",0300-400-7104,M
18110,Matteo da Rosa,581.094.327-60,1958-05-10,"Vale Levi Dias, 9",(021) 3360-8837,F
55882,Lucas Cardoso,345.871.902-41,1950-02-17,"Travessa Pedro Casa Grande, 86",+55 51 9904 7867,F
19664,Cauã Câmara,027.495.381-14,1928-08-12,"Residencial de Casa Grande, 601",+55 (021) 3336-3507,M
1662,Maria Luísa Melo,791.208.563-77,1944-08-17,"Área de Melo, 89",11 5782 3976,F
17436,Yan Guerra,791.268.534-00,2017-03-26,"Recanto Vieira, 89",+55 (071) 2958 4761,M
28128,Fernando Santos,749.283.610-40,1937-05-04,"Sítio Brayan Fogaça, 67",(031) 7119-4820,F
61479,Lunna Dias,065.482.197-67,1970-10-27,"Núcleo de Almeida, 282",+55 71 2755 2796,M
91073,Sarah Viana,462.159.378-19,1971-02-02,"Loteamento Ferreira, 77",+55 (041) 9994-1653,M
72901,Isabel Mendes,407.368.912-69,1941-08-15,"Rua Alves, 5",+55 51 9105 7365,M
77846,Matheus Pires,041.786.325-07,1981-01-03,"Largo de Machado, 591",41 1984-8672,M
92194,Rodrigo da Mota,702.158.394-04,2006-11-22,"Distrito de Sousa, 949",+55 84 4871 3146,M
38025,Valentim Araújo,682.937.105-86,1961-07-27,"Estação Duarte, 30",(081) 6201 4778,M
85930,Sophie Barbosa,287.409.165-02,1947-01-23,"Pátio Pimenta, 2",+55 21 2233-6144,M
1348,Dra. Melina Cassiano,015.672.948-20,1993-12-17,"Estação Campos, 826",84 2145 2107,M
80870,Mariah Caldeira,416.278.095-11,1927-06-26,"Viela Garcia, 653",+55 (051) 1201 1558,M
66235,Lívia Novais,819.367.402-22,2018-12-07,"Praça de Machado, 12",+55 (011) 4251-5600,M
95310,Giovanna Aparecida,071.498.625-94,1992-07-06,"Chácara de Costela, 13",84 6004 2574,M
68101,João Lucas Fonseca,324.968.175-09,1979-11-08,"Área de Martins, 226",(061) 6386-4892,M
93150,Cauã Cavalcanti,524.637.901-99,1923-08-23,"Aeroporto José Pedro da Mota, 493",+55 (051) 5391-0637,F
31612,Stephany Nogueira,105.479.682-30,1946-07-14,"Campo Cauê Sá, 63",81 1134 5222,M
55949,Ana Cecília Melo,064.391.825-60,1911-10-12,"Loteamento Machado, 768",+55 84 6060-8084,M
63483,José Miguel Sales,804.739.125-97,1913-09-21,"Quadra Gustavo Henrique Almeida, 5",+55 (061) 1752-9093,M
61115,Olivia Costa,976.018.354-48,1945-12-28,"Trevo de Moreira, 193",(071) 1065 7148,M
45767,Allana Mendes,012.569.374-52,1917-07-05,Distrito Oliveira,0300 349 6490,F
53332,Dr. Rhavi Rocha,927.158.043-50,1944-09-09,"Jardim Costela, 98",0800-740-9458,F
30035,Isabella Farias,245.039.816-33,2010-08-12,"Residencial de Santos, 61",+55 (021) 8784-1961,F
84239,Clara Nunes,751.246.890-30,2014-03-21,"Vale Borges, 97",+55 (071) 3775-6230,M
53628,Dr. Yuri da Rocha,195.263.807-03,1977-10-18,"Chácara de Siqueira, 6",(031) 5635 6959,M
15174,Davi Aragão,167.902.538-40,2014-02-25,Colônia Gomes,21 2764-8331,F
86761,Dr. Arthur Miguel Pimenta,538.942.016-06,1993-06-13,"Favela de Peixoto, 50",(021) 4160 8149,M
30972,Gabriela Montenegro,085.247.931-04,1979-09-16,"Chácara de Castro, 9",+55 (084) 8346-2855,F
74704,Oliver Pinto,390.874.651-57,1927-06-26,Esplanada de Santos,+55 (041) 6074-5692,M
83275,Dr. José Miguel Camargo,730.614.258-53,1976-09-23,"Praça Cirino, 41",(031) 8491-3209,M
51934,Dr. Apollo Cassiano,640.817.923-13,2016-10-02,"Rua de Cardoso, 104",+55 61 8102-7427,M
33305,Srta. Lunna Carvalho,062.517.439-99,1965-06-29,"Viaduto Rezende, 163",11 1177 2792,M
78413,Benicio da Cunha,581.306.942-98,2006-08-21,"Conjunto de da Cunha, 4",0800-133-3887,F
28618,Felipe Peixoto,984.512.730-41,1966-10-08,"Viaduto Davi Miguel Machado, 5",+55 21 2836 2619,M
9654,Dra. Alexia Câmara,351.409.762-34,2011-05-02,"Núcleo Pacheco, 51",+55 (071) 3290 4250,M
14489,Léo Machado,920.183.645-70,1997-05-15,"Quadra de Cirino, 22",+55 (061) 0410 4988,M
61529,Dr. Rhavi Aparecida,083.961.745-39,1966-11-18,Viaduto de Silva,81 7057 2586,F
51469,Fernando Silva,034.698.251-06,1999-09-07,"Esplanada Maria Fernanda Sales, 732",(011) 7456-4716,F
25945,José Pedro Vieira,019.486.327-13,1936-07-05,"Esplanada Lima, 43",+55 61 5040 9810,M
10625,Sr. Otto Mendonça,814.576.309-66,1974-01-03,Sítio Costela,+55 (011) 4986 7380,F
47242,Yago Nascimento,293.687.504-83,1971-04-18,"Lago João Guilherme Barros, 942",+55 71 1675 1201,F
13782,Dra. Maria Julia Nascimento,928.453.061-05,1978-03-17,"Vale Ravi Fernandes, 4",(031) 3608-8822,M
88724,Asafe Pimenta,570.183.649-57,2006-06-17,Jardim de das Neves,(011) 3281-9511,F
15295,Lívia Aragão,459.128.673-82,1999-11-26,"Trecho Ana Júlia Monteiro, 92",81 1344 1268,M
85859,Luan Casa Grande,429.058.731-32,1911-03-03,"Distrito Andrade, 1",0900-366-2988,M
36206,Srta. Eduarda da Cruz,157.082.964-02,1937-10-09,"Aeroporto Peixoto, 20",0300-378-4795,F
34075,Enzo Gabriel Pimenta,697.310.482-78,1916-11-08,"Parque de Nogueira, 278",0900 366 4314,M
61150,Joana Martins,473.290.851-97,2018-11-25,"Morro de Ferreira, 600",+55 11 9575-8489,M
71173,Marcela Moreira,342.571.690-52,2009-03-11,"Esplanada de das Neves, 93",+55 (061) 0209 7104,M
8046,Isis Brito,863.479.502-00,1963-06-23,"Feira Marques, 548",(084) 0179-5317,M
21527,Dr. Nicolas Sales,653.749.120-70,2022-05-07,"Loteamento de Aragão, 118",0800 881 2402,M
78767,Alexandre Barbosa,537.841.026-62,1944-08-18,"Viela Barbosa, 499",+55 51 7483 5895,M
20419,Sara Ribeiro,642.510.793-61,2022-06-17,"Aeroporto Marcela Martins, 56",(081) 7356 5076,F
22716,Antony Cardoso,823.541.790-14,1929-09-07,"Travessa de Cavalcanti, 231",(011) 4948-8061,M
9133,Elisa Mendes,834.796.521-82,2007-12-15,"Campo Zoe Marques, 32",+55 81 6432-4675,M
68223,Marcelo Cavalcanti,685.912.740-67,2017-07-21,"Fazenda Albuquerque, 75",+55 31 5940-6122,M
10573,Leandro da Cruz,725.439.610-70,1987-10-13,"Distrito Azevedo, 4",+55 (021) 0190 7191,M
81795,Heloisa Pacheco,796.082.314-69,1952-12-21,"Condomínio Câmara, 840",84 0888-0386,M
