idlocacao,inquilino,valor_contrato,vigencia,localizacao,corretor,imovel
53465,Lorena Lopes,10385,2023-01-05,"Vereda Isabela Dias
Marieta 3ª Seção
18514483 Vargas dos Dourados / MT",Luiz Felipe da Conceição,56658
8427,Arthur Pires,16708,2022-11-30,"Aeroporto Pacheco, 79
Bandeirantes
11135911 Fogaça / PI",Dom Nunes,31007
91536,Sr. Ian Novaes,12865,2022-10-17,"Jardim de Caldeira, 187
Ermelinda
12066130 Montenegro das Flores / PR",Ísis Cavalcanti,50625
89566,Stephany Porto,16008,2022-03-05,"Distrito Heitor Correia, 494
Luxemburgo
08111-522 da Rosa / PB",José Pedro Caldeira,96701
12895,Luiz Henrique Farias,11551,2022-02-02,"Sítio de da Rosa, 97
Vila Das Oliveiras
41103558 Vasconcelos / SC",Lunna da Rosa,55894
52073,Rafaela Fernandes,12151,2022-06-28,"Vila de Sousa, 47
Céu Azul
07163-711 Nogueira / ES",Igor Casa Grande,18932
11790,Leandro Camargo,6792,2023-08-25,"Jardim Lucca Garcia
Vila São Paulo
26406912 Cassiano do Oeste / PI",Dra. Giovanna Correia,21339
77566,Guilherme Moura,18996,2022-03-30,"Condomínio de Ferreira, 677
Vila Madre Gertrudes 4ª Seção
68145-638 Novaes dos Dourados / AP",Ana Carolina Leão,62433
46953,Manuella da Rocha,18696,2023-03-03,"Estrada da Cunha, 73
Vila Jardim Alvorada
90898-173 Gomes / RN",Luara Rezende,16765
71822,Bárbara Costa,8561,2023-04-28,"Residencial de Melo, 50
Vila Independencia 3ª Seção
19741741 Pacheco / RJ",Vitor Hugo da Mata,38354
59368,Mariah Câmara,2598,2022-03-13,"Praia de Jesus, 57
Vera Cruz
54114-228 Costela do Campo / GO",Maria Helena Lopes,65032
45340,João Lucas Campos,10526,2024-10-05,"Pátio de Costa, 10
Buritis
97632-995 da Luz do Oeste / AL",Isaque Cassiano,41462
6732,Théo Ferreira,11610,2022-11-04,"Pátio de Sousa, 55
Vila Jardim Montanhes
51954-751 Silva / AC",Lorena Rezende,71519
63862,Maria Helena Gonçalves,6703,2024-09-15,"Campo de Moraes, 8
Marmiteiros
95283562 Farias / BA",Yan Viana,72837
29142,Maria Julia Sales,17689,2023-08-13,"Avenida João Andrade, 371
Vila Nossa Senhora Do Rosário
91561-305 Abreu / SC",Lívia Ribeiro,91766
75774,Ana Laura Ramos,3065,2022-11-17,"Pátio de Rezende, 622
Vila Paquetá
99832632 Nunes Paulista / AM",José Ferreira,42463
79766,José Miguel Borges,12885,2023-05-23,"Praia Câmara, 63
Lourdes
22349503 Peixoto do Norte / AP",Gabriela Cassiano,57456
14410,Sra. Maria Isis Martins,17246,2022-11-10,"Viela de Sales, 852
Vila Inestan
48593308 Mendes / RO",Ravi Lucca Melo,59535
56226,Isadora Rios,17231,2023-02-02,"Fazenda de Rocha, 829
Santo Agostinho
95488286 Leão do Norte / RN",Dra. Aurora Câmara,9902
59154,Luiz Felipe Cardoso,19425,2024-03-19,"Praia de Abreu, 55
Confisco
01481760 Rodrigues de Novaes / RN",Luiz Miguel Gomes,15348
30358,Sra. Ana Laura Fonseca,11350,2023-07-01,"Campo de Brito, 297
Cônego Pinheiro 2ª Seção
99594037 Pastor / SP",Hadassa Dias,16535
3192,Guilherme da Mota,11736,2021-12-16,"Fazenda Dom Jesus, 993
Vila Havaí
15533-022 Marques de Casa Grande / PB",Sra. Daniela Teixeira,70067
64507,Ana Julia Porto,5042,2023-11-23,"Avenida Farias, 16
Barão Homem De Melo 1ª Seção
38177868 Vasconcelos / MT",Liz Moraes,16495
87269,Dra. Catarina Pinto,13026,2023-07-18,"Via Ramos, 8
Conjunto Paulo Vi
75356127 Azevedo das Flores / RN",Maria Eduarda Fogaça,20232
33813,Apollo Casa Grande,4652,2022-09-19,"Lagoa Luiz Gustavo Costa, 37
Corumbiara
74820484 Mendonça de Guerra / CE",Vitor Hugo Carvalho,18347
57728,Sr. Augusto Azevedo,2565,2022-11-21,"Distrito Diogo Sales, 262
Mangueiras
53624031 Sampaio do Amparo / PR",José Cavalcante,56476
76681,Srta. Luiza Araújo,14363,2024-02-12,"Viaduto Eloah Montenegro, 8
São Gonçalo
28102-476 da Luz / RN",Fernanda Sá,15964
34581,Eduardo Martins,8528,2023-11-28,"Favela de Rocha, 64
Inconfidência
80160-708 Siqueira da Prata / RR",João Guilherme Garcia,79725
17629,Maria Sophia Gonçalves,8027,2021-12-06,"Fazenda Correia, 69
Vila São Francisco
37690594 Pinto do Galho / AM",Fernando Fogaça,81652
16470,Bruna Garcia,10959,2022-02-23,"Área Martins, 811
Vila São Gabriel Jacui
70083683 Correia / SE",Lucca Rezende,691
5464,Mariana Teixeira,10691,2021-12-28,"Viela de Machado, 85
Juliana
14019-510 Castro / PE",Thales Pires,25711
63201,Srta. Valentina Aparecida,1751,2024-09-20,"Campo de Sousa
Universitário
94697247 Gomes / GO",Catarina Santos,10876
37287,Sr. Matteo Almeida,19505,2023-12-31,"Alameda Bryan Guerra, 55
Castanheira
47428210 Novaes / GO",Calebe Martins,91066
38145,Pietro Moraes,4293,2023-09-01,"Chácara de Alves, 5
Santana Do Cafezal
86052-819 das Neves / RN",Aylla Alves,34420
65041,Vinicius Teixeira,17139,2023-02-28,"Residencial Rocha, 30
Cidade Jardim
79680-849 Viana / RN",Benicio Caldeira,69215
5372,Dra. Fernanda Andrade,12301,2022-04-11,"Chácara Apollo da Cruz, 64
Vila Ecológica
49083-286 Cunha de Mendonça / MS",Heloísa Macedo,28483
41712,Heloisa Siqueira,7153,2022-03-29,"Feira Ester Porto, 708
Ernesto Nascimento
50577-159 Moraes de da Luz / TO",Dr. Daniel Pastor,46776
84552,Vitor Hugo Cirino,1500,2024-04-06,"Rodovia de Sá, 2
Camargos
20476-849 Freitas / PB",Maria Luísa Brito,404
41292,Catarina Leão,18205,2022-02-10,"Praça Paulo Guerra, 48
Boa União 2ª Seção
35036646 Rocha de Minas / AM",Enzo da Rosa,98838
90914,Sr. Henry Pimenta,5521,2021-12-25,"Avenida de Correia, 33
Santa Monica
68005-720 Lopes / SP",Luiz Henrique Rezende,75936
72147,Dra. Raquel Cunha,13944,2023-04-05,"Vila Isaac da Paz, 14
Nova Gameleira
22837020 Pereira / MS",Vinícius Nunes,34262
23929,Dr. Dante Nogueira,6194,2022-10-15,"Praia de Vieira, 469
Santa Terezinha
94501915 Castro / AP",Ester Fogaça,33327
4552,Thiago Nogueira,16693,2022-02-05,"Campo Brayan Rios
Conjunto Floramar
14918-737 Mendonça da Mata / RJ",Srta. Maitê Pereira,63618
5533,Valentina Costela,10940,2022-11-14,"Estrada de da Paz, 42
União
56595-668 Vasconcelos do Amparo / AL",Dra. Eloá Albuquerque,15276
29663,André Montenegro,7079,2024-07-25,"Travessa Almeida, 61
Mariano De Abreu
53192-898 Castro das Pedras / PE",Oliver Rodrigues,35002
56517,Sr. Rael Cardoso,14394,2024-07-19,"Vereda Rodrigues, 7
Tirol
30300-666 Viana de Cirino / MT",Carolina Peixoto,4538
64000,Juliana Oliveira,11912,2022-06-26,"Residencial Sá, 351
Conjunto Serra Verde
53785581 Moraes / AL",Dante Moraes,52146
91207,Bruno Pereira,14141,2022-03-01,"Trecho Heloisa Azevedo, 4
Flamengo
36331798 Ramos / RJ",Anna Liz Costela,1675
76777,Kevin Montenegro,13663,2022-11-13,"Morro Vitor Gabriel Costela, 39
Castelo
91601574 Moraes do Oeste / CE",Aylla Costela,74349
54448,Henry Gabriel Santos,8444,2022-01-21,"Núcleo Maysa Martins, 88
Maria Goretti
25658-500 Melo / BA",Olivia Mendes,15970
83711,Gael Henrique da Rosa,9480,2024-04-18,"Viela de Caldeira
Vila São João Batista
60398-100 da Rocha Verde / GO",Enzo Castro,38752
41052,Anthony Gabriel Aparecida,5536,2023-11-20,"Condomínio Ramos, 56
Mineirão
39391-008 Peixoto da Prata / MT",Luiz Otávio Brito,82400
83292,Kamilly Pinto,8841,2024-07-29,"Ladeira Camila da Mota, 29
Mineirão
27361-738 Alves / MS",Otávio Pereira,52760
66093,Cauê Fernandes,12706,2024-09-02,"Viela Isadora Santos, 58
Cruzeiro
79756491 Peixoto / AM",Ana Gonçalves,15087
67523,Clarice Nascimento,6921,2024-08-19,"Distrito Guilherme Vasconcelos, 8
Engenho Nogueira
73993216 Freitas / RJ",João Guilherme Moura,16306
67952,Joana Mendes,6097,2023-07-16,"Área Peixoto, 924
Araguaia
69415-560 Pacheco de Costa / MG",Larissa Casa Grande,40741
2406,Ana Julia Correia,9728,2022-01-09,"Lago Isis Silva, 44
Liberdade
72903-773 da Rocha / MA",Eduardo da Luz,67050
61143,Dr. Samuel Mendonça,3953,2022-03-09,"Quadra Monteiro, 2
Santa Margarida
79934-183 Marques / PE",Luiza Barros,77740
74621,Isaac Nogueira,15172,2024-02-12,"Lago da Rocha, 705
Vila Ipiranga
04271854 Cunha do Sul / RN",Hadassa Moreira,81437
18789,Vicente Nascimento,11969,2022-07-02,"Travessa da Rosa, 67
Bonfim
18639-287 da Costa / SE",Bryan Marques,67154
23727,Luiz Fernando Vasconcelos,16795,2022-08-04,"Passarela Mariah Monteiro
Campo Alegre
58520546 da Luz Alegre / AP",Pedro Henrique Albuquerque,26366
74980,Sr. Benjamim Pastor,13608,2022-02-17,"Chácara Dias
Sion
44684-255 Farias das Pedras / PR",Léo Mendonça,91228
16842,João Miguel Siqueira,12314,2023-04-07,"Loteamento de Nunes
Pompéia
69602064 Fonseca / ES",Maria Liz da Mota,66942
6972,Dr. Ryan Duarte,15536,2022-06-15,"Praia de Caldeira
Unidas
71567-889 Moraes Alegre / RJ",Diego Montenegro,64162
77026,Carlos Eduardo Pinto,13272,2022-07-09,"Vila de Moraes
Buraco Quente
02541568 Sampaio da Praia / BA",Beatriz Garcia,32335
70565,Maria Rocha,5845,2023-06-01,"Jardim de Nunes, 41
Santo Agostinho
02407-506 Moura / PA",Camila Abreu,57648
33400,Lucas Moreira,16935,2024-03-04,"Viela Bruno Pereira, 62
Conjunto Jatoba
93401-679 Moraes / RS",Sra. Maria Sophia da Conceição,40355
82218,Dr. Nicolas Brito,4548,2024-09-17,"Quadra de Dias, 88
São Tomaz
72958033 Costa de Goiás / SE",Sra. Isis Albuquerque,96649
89069,Dr. Pedro da Conceição,17604,2022-02-25,"Parque Thiago Nogueira, 4
Cdi Jatoba
40745-413 Pacheco / PA",Dante Gomes,90908
17706,Sr. Liam Fernandes,5164,2023-02-17,"Viaduto de Pires, 991
Jardim América
64489243 Fogaça / AL",Rael Peixoto,78973
82136,Lucas Vargas,6649,2023-06-06,"Estação Rodrigo Alves
Vitoria
86300-886 Aparecida da Prata / RO",Rael Camargo,28790
81744,Nathan Moura,19485,2023-02-01,"Núcleo de Duarte, 744
Camponesa 1ª Seção
01200681 Alves / RJ",Sra. Sofia Freitas,42501
65699,Srta. Maysa Guerra,15096,2023-06-08,"Sítio Arthur Gabriel Andrade
Vila Engenho Nogueira
86381424 Pimenta / SC",Ana Carolina Vargas,29302
53252,Dom Fogaça,18665,2022-04-14,"Quadra Barbosa, 39
Venda Nova
56110656 Albuquerque / RN",Augusto Pastor,42303
86659,Marina das Neves,3203,2024-05-02,"Esplanada Giovanna Lopes, 51
Sagrada Família
08087268 Melo das Pedras / PR",Kaique Monteiro,36559
20529,Nina Campos,9888,2024-01-09,"Praia Moreira, 21
Vila Olhos D'água
76752450 Sousa / PI",Apollo Novaes,81891
35389,Otto Carvalho,2703,2023-12-21,"Quadra Fonseca, 7
Vila São Paulo
57181-270 Novais / AC",Marcos Vinicius da Mata,49768
55242,Maria Isis Borges,17208,2021-12-18,"Travessa de Fernandes, 83
Grotinha
22581-602 Mendes / GO",Anna Liz Freitas,12237
30185,Liz Guerra,2927,2024-10-02,"Jardim Albuquerque, 4
Santana Do Cafezal
30498-555 da Cunha de Castro / SP",Maitê Duarte,21372
98086,Clarice Vargas,2283,2024-09-02,"Aeroporto Guilherme Pereira, 19
Araguaia
57245804 Pinto dos Dourados / MT",Apollo Pastor,50360
14044,Vitor Gabriel Pimenta,19467,2022-10-17,"Residencial Brayan Pires, 42
Vila Maria
23037-390 Lopes Grande / RN",Anthony Castro,8562
71213,Joana Carvalho,14275,2024-06-01,"Favela de Rios
Estrela
29379305 da Rosa da Mata / AP",Maria Isis Siqueira,69298
60632,Ana Laura Rios,18815,2022-09-11,"Loteamento de Garcia, 1
São Lucas
43013-199 Correia do Sul / SP",Sr. Luiz Miguel Leão,53302
61583,Pedro Henrique Nogueira,2598,2024-03-13,"Trevo Rebeca Alves, 2
Paulo Vi
89409407 da Conceição / RN",Maria Liz Cirino,76598
27914,Rodrigo Moura,9180,2023-03-09,"Ladeira Catarina Mendes, 63
Concórdia
51528163 da Mata de Melo / PA",Srta. Lunna Sampaio,59568
71694,Isaac Cassiano,8820,2023-07-26,"Pátio de da Conceição, 25
Vila Pilar
06188795 Barros / RO",Luiz Miguel Casa Grande,51528
97044,Maria Flor Guerra,12901,2023-09-27,"Largo Heloísa Brito, 581
Olhos D'água
76254-776 Correia das Flores / RJ",Jade Jesus,82066
19261,Hadassa Pires,16576,2024-11-14,"Passarela de Mendes
Jardim Do Vale
90985-085 Melo do Campo / PR",Isabela Cirino,40336
25547,Clara Machado,14610,2022-02-18,"Distrito João Lucas Araújo, 68
Pedreira Padro Lopes
35269-016 Jesus / DF",Sra. Camila Dias,64240
56844,Ravy Viana,15547,2022-02-23,"Passarela Aragão, 49
São João
24866465 Garcia / PI",Benjamin Moraes,48634
20077,Bruno Silveira,1235,2022-02-02,"Aeroporto Stephany Siqueira, 18
Alta Tensão 2ª Seção
00414-132 da Mata de Minas / CE",Alice Carvalho,2422
98110,Cecília Pereira,15799,2024-10-20,"Praça Costela, 11
Conjunto Bonsucesso
68019192 Pires / PE",Melina Nogueira,70594
50564,Joaquim Montenegro,1529,2024-06-15,"Vereda de Marques, 707
Vitoria Da Conquista
95730028 Pimenta de Goiás / PE",Hadassa Moraes,23611
4874,Pedro Miguel Brito,4824,2023-12-07,"Sítio Lima, 96
Parque São José
78494-337 Pastor / SC",Alexia Aparecida,41900
55378,Bella Albuquerque,14434,2023-01-17,"Vereda de Mendonça
Conjunto Novo Dom Bosco
60749062 Vargas / AC",Caio Almeida,35397
32883,Eloá Montenegro,7630,2022-10-15,"Favela Souza, 2
Álvaro Camargos
01579196 Cavalcanti / BA",Julia Carvalho,1583
78174,Rafael Cardoso,10227,2024-07-29,"Praia de da Luz, 90
Vila Piratininga
16767008 da Costa / MT",Benjamin Farias,29096
47332,Benício Cardoso,8556,2023-12-02,"Alameda Ana Beatriz Ferreira, 813
Santa Terezinha
98197-604 Andrade / PA",Antony Siqueira,26726
60938,Eloah Peixoto,12438,2024-05-22,"Setor Daniel Ribeiro, 9
Paulo Vi
81059-893 da Rosa das Pedras / RS",Diego Cardoso,48911
63965,Sara Jesus,17267,2023-02-19,"Favela de Casa Grande, 429
Vila Madre Gertrudes 1ª Seção
88188-888 Gomes de Pastor / AC",Stephany Pacheco,40897
47393,Vinícius Azevedo,14201,2023-08-30,"Recanto de Teixeira, 45
Vila Real 1ª Seção
38552-924 Viana de Dias / RN",Caio Abreu,8199
78703,Gustavo Vieira,11733,2024-09-03,"Setor Gomes
Santa Tereza
83591-054 Ramos de Marques / ES",Ana Lívia Rios,67331
94581,João Pedro Ribeiro,1092,2024-10-06,"Campo de Melo
Santo André
93047-234 Fernandes de Nascimento / GO",Erick Fogaça,66927
49720,Emanuel Cavalcanti,12658,2022-05-05,"Chácara de Sousa, 25
Vila Real 1ª Seção
45714505 da Cunha da Praia / TO",Isaac Vasconcelos,51921
23566,Maria Helena Aparecida,6282,2022-09-11,"Morro Maria Clara Andrade, 44
Morro Dos Macacos
78708-745 Jesus das Pedras / AP",Ana Vitória Pinto,56214
14611,Mateus da Mota,15962,2024-05-05,"Estação de Rodrigues, 3
Padre Eustáquio
32825-496 Aparecida de Goiás / TO",Dr. João Guilherme Moraes,67647
